Time (mSec),Stimulus (Code),Right (OD),Left (OS)
4650,None,315,320
4654,None,315,321
4657,None,315,321
4661,None,316,321
4664,None,315,321
4668,None,315,320
4671,None,316,321
4675,None,315,319
4679,None,316,320
4682,None,316,320
4686,None,315,321
4689,None,316,320
4693,None,315,321
4696,None,316,321
4700,None,316,319
4704,None,315,321
4707,None,316,320
4711,None,316,321
4714,None,316,320
4718,None,316,321
4721,None,315,320
4725,None,315,321
4729,None,315,320
4732,None,316,321
4736,None,316,320
4739,None,315,321
4743,None,315,321
4746,None,315,320
4750,None,316,321
4754,None,315,320
4757,None,316,321
4761,None,316,321
4764,None,316,320
4768,None,316,320
4771,None,316,321
4775,None,316,320
4779,None,316,320
4782,None,316,320
4786,None,315,321
4789,None,316,320
4793,None,316,320
4796,None,315,320
4800,None,315,320
4804,None,316,320
4807,None,316,321
4811,None,315,320
4814,None,315,320
4818,None,316,319
4821,None,315,321
4825,None,315,320
4829,None,315,319
4832,None,314,319
4836,None,315,319
4839,None,314,319
4843,None,314,319
4846,None,314,319
4850,None,314,319
4854,None,314,318
4857,None,314,319
4861,None,314,318
4864,None,314,318
4868,None,314,319
4871,None,314,318
4875,None,314,318
4879,None,314,318
4882,None,314,318
4886,None,314,319
4889,None,314,318
4893,None,313,319
4896,None,313,319
4900,None,315,319
4904,None,315,319
4907,None,315,319
4911,None,315,319
4914,None,315,319
4918,None,315,319
4921,None,315,320
4925,None,315,319
4929,None,315,320
4932,None,315,319
4936,None,315,319
4939,None,315,320
4943,None,316,320
4946,None,314,320
4950,None,315,319
4954,None,316,320
4957,None,316,320
4961,None,316,320
4964,None,316,320
4968,None,314,320
4971,None,313,320
4975,None,313,320
4979,None,314,320
4982,None,316,318
4986,None,315,320
4989,None,316,319
4993,None,316,320
4996,None,316,320
5000,None,315,320
5004,None,315,320
5007,None,315,320
5011,None,316,320
5014,None,315,320
5018,None,316,320
5021,None,315,320
5025,None,315,320
5029,None,315,320
5032,None,316,320
5036,None,315,320
5039,None,316,320
5043,None,315,320
5046,None,315,321
5050,None,315,321
5054,None,316,320
5057,None,316,320
5061,None,316,321
5064,None,315,320
5068,None,316,321
5071,None,316,321
5075,None,316,321
5079,None,316,321
5082,None,316,321
5086,None,316,321
5089,None,316,321
5093,None,316,321
5096,None,316,320
5100,None,316,321
5104,None,316,321
5107,None,316,321
5111,None,316,321
5114,None,316,321
5118,None,316,322
5121,None,316,322
5125,None,316,322
5129,None,316,322
5132,None,316,322
5136,None,316,322
5139,None,316,322
5143,None,317,322
5146,None,317,322
5150,None,317,322
5154,None,317,322
5157,None,317,322
5161,None,317,322
5164,None,316,322
5168,None,316,322
5171,None,317,322
5175,None,317,324
5179,None,317,324
5182,None,317,328
5186,None,317,322
5189,None,317,324
5193,None,317,322
5196,None,317,322
5200,None,317,322
5204,None,317,322
5207,None,317,322
5211,None,317,324
5214,None,317,322
5218,None,317,324
5221,None,317,322
5225,None,317,322
5229,None,317,322
5232,None,317,324
5236,None,318,322
5239,None,318,322
5243,None,317,322
5246,None,318,322
